airlineEnglish,airlineKorean,airport,airportCode,city,cityCode,flightPurpose,internationalEddate,internationalFri,internationalIoType,internationalMon,internationalNum,internationalSat,internationalStdate,internationalSun,internationalThu,internationalTime,internationalTue,internationalWed
SHANGHAI AIRLINES,상해항공,서울/김포,GMP,상해/홍차오,SHA,여객기,2019-03-30T00:00:00+09:00,Y,IN,Y,FM823,Y,2018-10-28T00:00:00+09:00,Y,Y,1905,Y,Y
EASTAR JET,이스타항공,부산/김해,PUS,블라디보스톡/블라디보스토크,VVO,여객기,2019-01-04T00:00:00+09:00,N,IN,N,ZE972,N,2018-10-28T00:00:00+09:00,N,Y,1905,N,N
LOONGAIR,룽에어,제주,CJU,시안,XIY,여객기,2019-01-31T00:00:00+09:00,N,OUT,Y,GJ8066,N,2019-01-01T00:00:00+09:00,N,N,1910,N,N
AIR BUSAN,에어부산,대구,TAE,오사카/간사이,KIX,여객기,2019-03-30T00:00:00+09:00,Y,IN,Y,BX127,Y,2018-10-28T00:00:00+09:00,Y,Y,1910,Y,Y
EVA AIRWAYS,에바항공(장영항공),서울/김포,GMP,타이페이/성산,TSA,여객기,2019-03-30T00:00:00+09:00,N,IN,N,BR156,N,2018-10-28T00:00:00+09:00,N,N,1915,N,Y
JAPAN AIRLINES,일본항공,서울/김포,GMP,동경/하네다,HND,여객기,2019-02-10T00:00:00+09:00,Y,OUT,Y,JL94,Y,2018-10-28T00:00:00+09:00,Y,Y,1925,Y,Y
SHENZEN AIRLINES,중국심천항공,제주,CJU,심천/선전,SZX,여객기,2019-03-30T00:00:00+09:00,N,OUT,N,ZH9042,N,2019-01-01T00:00:00+09:00,Y,Y,1925,N,N
AURORA AIRLINES,오로라항공,부산/김해,PUS,블라디보스톡/블라디보스토크,VVO,여객기,2019-03-29T00:00:00+09:00,Y,IN,N,HZ5464,N,2018-11-02T00:00:00+09:00,N,N,1930,N,N
JEJU AIR,제주항공,부산/김해,PUS,다낭,DAD,여객기,2019-03-30T00:00:00+09:00,N,IN,N,7C2956,N,2018-10-28T00:00:00+09:00,N,N,1930,N,Y
JEJU AIR,제주항공,부산/김해,PUS,다낭,DAD,여객기,2019-03-30T00:00:00+09:00,N,IN,N,7C2956,N,2018-10-28T00:00:00+09:00,N,Y,1930,N,N
